run_id,kind,device_label,runtime,model_name,app_package,prompt,requested_backend,reported_backends,done_marker,has_summary,measure_rows,ok_measure_rows,strict_backend_valid,validity_note,mean_tok_s,mean_ttft_ms,battery_peak_temp_c,thermal_peak_any_c,charging_contaminated,run_dir
20260528-magicv5-litertlm-gemma4-batch-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,,NPU,NPU,True,True,5,5,True,ok,51.5507,43.0329,38.0,81.1,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-batch-r2
20260528-magicv5-litertlm-gemma4-cpu-smoke,smoke,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,2,2,False,reported_backend_mismatch,49.2017,53.359,36.0,67.5,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-cpu-smoke
20260528-magicv5-litertlm-gemma4-gpu-smoke,smoke,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,GPU,NPU,True,True,2,2,False,reported_backend_mismatch,47.1347,45.1137,35.0,69.5,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-gpu-smoke
20260528-magicv5-litertlm-gemma4-long-long-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok,51.3073,63.391,40.0,90.7,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-long-long-r1
20260528-magicv5-litertlm-gemma4-long-medium-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok,45.5832,62.1757,40.0,80.3,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-long-medium-r1
20260528-magicv5-litertlm-gemma4-long-short-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok,57.5835,61.3338,38.0,78.0,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-long-short-r1
20260528-magicv5-litertlm-gemma4-medium-long-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok,49.8772,50.8,38.0,83.4,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-medium-long-r1
20260528-magicv5-litertlm-gemma4-medium-medium-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok,47.4947,46.2084,39.0,76.4,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-medium-medium-r1
20260528-magicv5-litertlm-gemma4-medium-short-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok,44.565,49.8744,39.0,76.4,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-medium-short-r1
20260528-magicv5-litertlm-gemma4-npu-smoke,smoke,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,2,2,True,ok,43.9402,50.6953,35.0,59.0,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-npu-smoke
20260528-magicv5-litertlm-gemma4-r1sustain2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,,NPU,NPU,True,True,2,2,True,ok_usb_powered,53.6393,44.3278,32.0,64.1,True,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-r1sustain2
20260528-magicv5-litertlm-gemma4-short-long-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok,43.2418,44.6051,38.0,83.8,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-short-long-r1
20260528-magicv5-litertlm-gemma4-short-medium-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok,42.1159,49.9055,40.0,78.7,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-short-medium-r1
20260528-magicv5-litertlm-gemma4-short-short-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok,54.4099,42.3,40.0,73.7,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-short-short-r1
20260528-magicv5-litertlm-gemma4-unplug-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,,NPU,NPU,True,True,5,5,True,ok,57.686,42.3274,38.0,81.8,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-unplug-r3
20260528-magicv5-litertlm-gemma4-unplug-r4,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,,NPU,NPU,True,True,5,5,True,ok,51.2641,44.4907,39.0,75.3,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-unplug-r4
20260528-magicv5-litertlm-gemma4-unplug-r5,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,,NPU,NPU,True,True,5,5,True,ok,50.3935,44.599,37.0,76.0,False,01-sustained-mobile-inference\logs\runs\20260528-magicv5-litertlm-gemma4-unplug-r5
20260529-234330-magicv5-litertlm-gemma4-main-long-long-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,52.1166,60.3561,38.0,88.0,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-long-long-r1
20260529-234330-magicv5-litertlm-gemma4-main-long-long-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,52.0714,65.269,40.0,91.1,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-long-long-r2
20260529-234330-magicv5-litertlm-gemma4-main-long-long-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,51.7744,75.9979,41.0,93.8,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-long-long-r3
20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,47.788,45.1685,37.0,76.4,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r1
20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,47.1857,44.8297,37.0,77.2,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r2
20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,47.0078,46.185,37.0,77.6,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-medium-medium-r3
20260529-234330-magicv5-litertlm-gemma4-main-short-short-r1,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,48.9038,46.3867,37.0,58.7,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-short-short-r1
20260529-234330-magicv5-litertlm-gemma4-main-short-short-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,49.0887,47.0268,37.0,69.9,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-short-short-r2
20260529-234330-magicv5-litertlm-gemma4-main-short-short-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,49.0123,49.4794,37.0,67.9,True,01-sustained-mobile-inference\logs\runs\20260529-234330-magicv5-litertlm-gemma4-main-short-short-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_high_thermal,50.4499,68.4087,44.0,100.0,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,50.6418,69.5789,45.0,99.2,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-long-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,43.798,70.4419,43.0,83.0,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,44.1849,68.63,43.0,84.9,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-medium-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,56.6387,67.6734,44.0,77.6,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,3,3,True,ok_usb_powered,57.1246,66.5083,43.0,74.1,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-long-short-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,48.9772,51.9525,42.0,93.0,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,49.0936,53.1734,43.0,97.3,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-long-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,45.2637,50.1407,41.0,79.9,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,45.5007,52.3802,41.0,80.7,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-medium-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,43.2756,50.4522,42.0,77.2,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,3,3,True,ok_usb_powered,43.9801,54.4716,42.0,72.6,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-medium-short-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,50.889,52.3578,40.0,91.1,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,50.5689,49.8482,41.0,93.8,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-long-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,45.0941,47.1438,38.0,78.7,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,45.5942,47.9835,39.0,80.3,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-medium-r3
20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r2,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,45.7403,50.8659,38.0,61.7,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r2
20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r3,other,magicv5,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,3,3,True,ok_usb_powered,46.0507,47.4586,38.0,72.2,True,01-sustained-mobile-inference\logs\runs\20260530-104340-magicv5-litertlm-gemma4-ablation-short-short-r3
20260604-MBH-N49-litertlm-endurance-50iter-cpu,endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,50,50,False,reported_backend_mismatch,39.5937,57.5582,43.0,98.1,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-endurance-50iter-cpu
20260604-MBH-N49-litertlm-endurance-50iter-gpu,endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,GPU,NPU,True,True,50,50,False,reported_backend_mismatch,41.2981,52.7004,41.0,94.6,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-endurance-50iter-gpu
20260604-MBH-N49-litertlm-endurance-50iter-npu,endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,50,50,True,ok_usb_powered,45.4304,50.6344,38.0,88.8,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-endurance-50iter-npu
"20260604-MBH-N49-litertlm-gemma4-npu,gpu,cpu-smoke",smoke,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,2,2,False,reported_backend_mismatch,39.3388,52.822,36.0,72.2,True,"01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-gemma4-npu,gpu,cpu-smoke"
"20260604-MBH-N49-litertlm-modern-backend-matrix-npu,gpu,cpu",endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,10,10,False,reported_backend_mismatch,46.4898,51.8385,37.0,86.9,True,"01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-npu,gpu,cpu"
20260604-MBH-N49-litertlm-modern-backend-matrix-v2-cpu,endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,10,10,False,reported_backend_mismatch,41.3164,60.0351,43.0,93.0,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-v2-cpu
20260604-MBH-N49-litertlm-modern-backend-matrix-v2-gpu,endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,GPU,NPU,True,True,10,10,False,reported_backend_mismatch,40.7745,57.3499,40.0,90.7,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-v2-gpu
20260604-MBH-N49-litertlm-modern-backend-matrix-v2-npu,endurance,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,10,10,True,ok_usb_powered,41.6919,57.0964,38.0,83.0,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-modern-backend-matrix-v2-npu
20260604-MBH-N49-litertlm-prompt-backend-20iter-long-cpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,CPU,NPU,True,True,20,20,False,reported_backend_mismatch,37.6532,57.5386,46.0,103.1,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-long-cpu
20260604-MBH-N49-litertlm-prompt-backend-20iter-long-gpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,GPU,NPU,True,True,20,20,False,reported_backend_mismatch,38.3078,54.9802,46.0,99.6,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-long-gpu
20260604-MBH-N49-litertlm-prompt-backend-20iter-long-npu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,20,20,True,ok_usb_powered,38.8454,55.6053,45.0,99.6,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-long-npu
20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-cpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,CPU,NPU,True,True,20,20,False,reported_backend_mismatch,29.1371,59.391,44.0,98.1,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-cpu
20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-npu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,medium,NPU,NPU,True,True,20,20,True,ok_high_thermal,30.0788,59.5624,49.0,105.4,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-medium-npu
20260604-MBH-N49-litertlm-prompt-backend-20iter-short-cpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,20,20,False,reported_backend_mismatch,42.3419,50.6135,39.0,91.5,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-short-cpu
20260604-MBH-N49-litertlm-prompt-backend-20iter-short-gpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,GPU,NPU,True,True,20,20,False,reported_backend_mismatch,42.2266,52.3087,37.0,86.5,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-short-gpu
20260604-MBH-N49-litertlm-prompt-backend-20iter-short-npu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,20,20,True,ok_usb_powered,45.8289,49.0295,35.0,87.2,True,01-sustained-mobile-inference\logs\runs\20260604-MBH-N49-litertlm-prompt-backend-20iter-short-npu
20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-cpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,CPU,NPU,True,True,20,20,False,reported_backend_mismatch,40.7,48.9777,43.0,95.0,True,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-cpu
20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-npu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,long,NPU,NPU,True,True,10,10,True,ok_usb_powered,42.2365,48.1634,40.0,86.1,True,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-long-npucpu-repair-20iter-long-npu
20260605-MBH-N49-litertlm-prompt-gpu-repair-20iter-short-gpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,GPU,NPU,True,True,20,20,False,reported_backend_mismatch,40.129,58.5251,40.0,89.2,True,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-prompt-gpu-repair-20iter-short-gpu
20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-cpu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,20,20,False,reported_backend_mismatch,43.5168,51.051,46.0,100.8,True,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-cpu
20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-npu,prompt_matrix,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,20,20,True,ok_usb_powered,43.1171,49.4106,45.0,94.6,True,01-sustained-mobile-inference\logs\runs\20260605-MBH-N49-litertlm-prompt-npucpu-replication-20iter-short-npu
20260606-205051-MBH-N49-litertlm-backend-replication-30iter-cpu,backend_replication,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,CPU,NPU,True,True,30,30,False,reported_backend_mismatch,45.0062,53.7164,43.0,100.0,True,01-sustained-mobile-inference\logs\runs\20260606-205051-MBH-N49-litertlm-backend-replication-30iter-cpu
20260606-205051-MBH-N49-litertlm-backend-replication-30iter-gpu,backend_replication,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,GPU,NPU,True,True,30,30,False,reported_backend_mismatch,43.2425,55.038,40.0,91.9,True,01-sustained-mobile-inference\logs\runs\20260606-205051-MBH-N49-litertlm-backend-replication-30iter-gpu
20260606-205051-MBH-N49-litertlm-backend-replication-30iter-npu,backend_replication,MBH-N49,litert_lm,gemma4-e2b-sm8750,com.example.qnn_litertlm_gemma,short,NPU,NPU,True,True,30,30,True,ok_usb_powered,41.1083,53.7791,38.0,85.3,True,01-sustained-mobile-inference\logs\runs\20260606-205051-MBH-N49-litertlm-backend-replication-30iter-npu
